experiment_id,generation_status,candidate_rank,id,generator_clue_density,generator_wall_density,generator_turn_bias,generator_symmetry_bias,generator_path_wiggle_factor,generator_clue_spacing_bias,rows,cols,clues,walls,corner_clue_count,edge_clue_count,center_clue_count,clue_spacing_entropy,turn_count,path_self_proximity,mean_path_self_proximity,wall_density,clue_heatmap_entropy,reflection_symmetry,rotational_symmetry,overall_symmetry,solver_nodes_visited,solver_backtracks,average_branching_factor,solution_count,player_solve_rate,player_avg_time,player_hint_rate,player_like_score,scorer_name,predicted_quality_score,ranking_score,error
smoke-001,valid_unique,,ZIP-SEARCH-00001,0.444380,0.029596,0.637723,0.778972,0.986025,0.982609,4,4,8,0,2,4,2,2.789898,11,1,2.904762,0,2,0,0,0,31,21,2,1,,,,,bootstrap_exploration_v0,,0.090068,
smoke-001,valid_unique,,ZIP-SEARCH-00002,0.352618,0.259826,0.074764,0.491730,0.541133,0.662127,4,4,6,2,3,1,2,2.321928,7,1,2.904762,0.083333,1.918296,0.250000,0.500000,0.375000,22,17,2,1,,,,,bootstrap_exploration_v0,,0.272906,
smoke-001,valid_unique,,ZIP-SEARCH-00003,0.336487,0.102105,0.871609,0.504640,0.794080,0.760180,4,4,6,1,3,1,2,2.321928,8,1,2.904762,0.041667,1.918296,0.285714,0.571429,0.428571,30,22,2,1,,,,,bootstrap_exploration_v0,,0.262209,
smoke-001,valid_unique,,ZIP-SEARCH-00004,0.347680,0.059823,0.974727,0.090636,0.910902,0.820258,4,4,6,1,0,4,2,2.321928,9,1,2.904762,0.041667,1.918296,0.857143,0,0.428571,35,28,2,1,,,,,bootstrap_exploration_v0,,0.262220,
smoke-001,valid_unique,2,ZIP-SEARCH-00005,0.273891,0.207762,0.791135,0.250726,0.690349,0.456769,4,4,5,2,1,2,2,1.989898,9,1,2.904762,0.083333,1.921928,0.285714,0,0.142857,45,30,2,1,,,,,bootstrap_exploration_v0,,0.289028,
smoke-001,valid_unique,,ZIP-SEARCH-00006,0.348210,0.246953,0.032702,0.418906,0.477706,0.522093,4,4,11,2,4,4,3,3.240224,7,1,2.904762,0.083333,1.980826,0.461538,0.769231,0.615385,19,15,2,1,,,,,bootstrap_exploration_v0,,0.255976,
smoke-001,valid_unique,1,ZIP-SEARCH-00007,0.320638,0.291444,0.605730,0.306950,0.908271,0.559670,4,4,6,3,0,4,2,2.321928,10,1,2.904762,0.125000,1.918296,0.888889,0,0.444444,42,31,2.111111,1,,,,,bootstrap_exploration_v0,,0.318267,
smoke-001,valid_unique,,ZIP-SEARCH-00008,0.262260,0.159680,0.088248,0.829295,0.467353,0.703307,4,4,8,1,1,5,2,2.789898,8,1,2.904762,0.041667,1.811278,0.222222,0.666667,0.444444,22,18,2,1,,,,,bootstrap_exploration_v0,,0.200366,
smoke-001,valid_unique,3,ZIP-SEARCH-00009,0.370502,0.060652,0.441962,0.269917,0.241998,0.589456,4,4,6,1,2,2,2,2.321928,12,1,2.904762,0.041667,1.918296,0.857143,0,0.428571,61,43,2.125000,1,,,,,bootstrap_exploration_v0,,0.273527,
smoke-001,valid_unique,,ZIP-SEARCH-00010,0.318972,0.137951,0.997392,0.798273,0.635312,0.874351,4,4,11,1,2,6,3,3.240224,11,1,2.904762,0.041667,1.980826,0.500000,0.500000,0.500000,18,15,2,1,,,,,bootstrap_exploration_v0,,0.211468,
smoke-001,valid_unique,,ZIP-SEARCH-00011,0.388492,0.155999,0.917981,0.956999,0.020739,0.972969,4,4,7,1,0,6,1,2.555913,11,1,2.904762,0.041667,1.950212,0.500000,0.500000,0.500000,59,46,2.083333,1,,,,,bootstrap_exploration_v0,,0.221558,
smoke-001,valid_unique,,ZIP-SEARCH-00012,0.330557,0.310918,0.268550,0.040585,0.334939,0.766732,4,4,10,3,3,4,3,3.056565,8,1,2.904762,0.125000,1.970951,0.538462,0.461538,0.500000,17,15,2,1,,,,,bootstrap_exploration_v0,,0.254323,
