id,generator_clue_density,generator_wall_density,generator_turn_bias,generator_symmetry_bias,generator_path_wiggle_factor,generator_clue_spacing_bias,rows,cols,clues,walls,corner_clue_count,edge_clue_count,center_clue_count,clue_spacing_entropy,turn_count,path_self_proximity,mean_path_self_proximity,wall_density,clue_heatmap_entropy,reflection_symmetry,rotational_symmetry,overall_symmetry,solver_nodes_visited,solver_backtracks,average_branching_factor,solution_count,player_solve_rate,player_avg_time,player_hint_rate,player_like_score
IAETYD,0.330000,0.160000,0.500000,0,0.500000,0.750000,5,5,9,3,2,3,4,3,10,1,3.536232,0.075000,1.891061,0.333333,0,0.166667,53,41,2,1,1,21,0,5
ABCDEF,0.330000,0.160000,0.500000,0,0.500000,0.750000,5,5,17,3,4,4,9,3.918296,19,1,3.536232,0.075000,1.954247,0.700000,0.850000,0.775000,29,24,2,1,1,19,0,1
4B1B2J,0.330000,0.160000,0.500000,0,0.500000,0.750000,5,5,9,3,1,5,3,3,12,1,3.536232,0.075000,1.836592,0.500000,0.083333,0.291667,115,83,2.142857,1,1,37,0,4
9588JZ,0.330000,0.160000,0.500000,0,0.500000,0.750000,5,5,15,3,1,10,4,3.688722,16,1,3.536232,0.075000,1.889246,0.722222,0.500000,0.611111,38,28,2.125000,1,1,17,0,1
NM2OO9,0.330000,0.160000,0.500000,0,0.500000,0.750000,5,5,13,3,2,7,4,3.459148,14,1,3.536232,0.075000,1.884314,0.437500,0.437500,0.437500,74,55,2,1,1,14,0,3
ALONJ0,0.330000,0.160000,0.500000,0,0.500000,0.750000,5,5,17,3,3,9,5,3.918296,11,1,3.536232,0.075000,1.954247,0.600000,0.550000,0.575000,30,24,2,1,1,12,0,1
IHXLZL,0.330000,0.160000,0.500000,0,0.500000,0.750000,5,5,17,3,1,11,5,3.918296,13,1,3.536232,0.075000,1.954247,0.700000,0.650000,0.675000,29,24,2,1,1,9,0,5
3QCCUO,0.330000,0.160000,0.500000,0,0.500000,0.750000,5,5,17,3,3,8,6,3.918296,9,1,3.536232,0.075000,1.954247,0.550000,0.450000,0.500000,33,26,2,1,1,21,0,1
ZT0GI6,0.330000,0.160000,0.500000,0,0.500000,0.750000,5,5,9,3,2,4,3,3,13,1,3.536232,0.075000,1.974938,0.416667,0.416667,0.416667,113,80,2,1,1,19,0,3
R4NR8J,0.330000,0.160000,0.500000,0,0.500000,0.750000,5,5,9,3,1,5,3,3,15,1,3.536232,0.075000,1.836592,0.250000,0.416667,0.333333,151,103,2.041667,1,1,13,0,3
2HUI64,0.330000,0.160000,0.500000,0,0.500000,0.750000,5,5,17,3,3,9,5,3.918296,11,1,3.536232,0.075000,1.901506,0.600000,0.550000,0.575000,30,24,2,1,1,14,0,0
HUXIQ6,0.330000,0.160000,0.500000,0,0.500000,0.750000,5,5,9,3,1,5,3,3,18,1,3.536232,0.075000,1.974938,0.500000,0.250000,0.375000,118,83,2.027778,1,1,11,0,5
UO0JA3,0.330000,0.160000,0.500000,0,0.500000,0.750000,5,5,9,3,0,4,5,3,17,1,3.536232,0.075000,1.974938,0.416667,0.750000,0.583333,150,123,2.100000,1,1,45,0,7
D59USR,0.330000,0.160000,0.500000,0,0.500000,0.750000,5,5,9,3,1,5,3,3,18,1,3.536232,0.075000,1.974938,0.250000,0.416667,0.333333,117,83,2.090909,1,1,22,0,4
DDVJY5,0.330000,0.160000,0.500000,0,0.500000,0.750000,5,5,13,3,1,7,5,3.459148,13,1,3.536232,0.075000,1.987773,0.500000,0.312500,0.406250,49,40,2,1,1,13,0,0
MVVW0L,0.330000,0.160000,0.500000,0,0.500000,0.750000,5,5,9,3,1,4,4,3,18,1,3.536232,0.075000,1.974938,0.250000,0.583333,0.416667,129,98,2.031250,1,1,14,0,2
XGNZ0X,0.330000,0.160000,0.500000,0,0.500000,0.750000,5,5,9,3,2,4,3,3,14,1,3.536232,0.075000,1.836592,0.333333,0.250000,0.291667,110,75,2.029412,1,1,12,0,0
YIDUKF,0.330000,0.160000,0.500000,0,0.500000,0.750000,5,5,9,3,2,4,3,3,12,1,3.536232,0.075000,1.891061,0.416667,0.250000,0.333333,165,116,2.039216,1,1,13,0,2
PL35IK,0.330000,0.160000,0.500000,0,0.500000,0.750000,5,5,17,3,2,9,6,3.918296,11,1,3.536232,0.075000,1.954247,0.500000,0.450000,0.475000,29,24,2,1,1,13,0,2
VRNOJD,0.330000,0.160000,0.500000,0,0.500000,0.750000,5,5,13,3,2,7,4,3.459148,14,1,3.536232,0.075000,1.727249,0.375000,0.437500,0.406250,65,52,2,1,0,14,0,5
UI-mqidcs6j-J4W4SH,0.260000,0.220000,0.700000,0.050000,0.750000,0.620000,5,5,12,4,4,3,5,3.418296,12,1,3.536232,0.100000,1.959148,0.750000,0.687500,0.718750,47,35,2.222222,1,1,15,0,2
UI-mqidd3yd-OS3HT7,0.260000,0.220000,0.700000,0.050000,0.750000,0.620000,5,5,13,4,4,4,5,3.584963,10,1,3.536232,0.100000,1.922023,0.941176,0.764706,0.852941,29,24,2.333333,1,1,10,0,0
UI-mqiddbgv-LH4IL4,0.260000,0.220000,0.700000,0.050000,0.750000,0.620000,5,5,8,4,2,3,3,2.751629,17,1,3.536232,0.100000,2,0.416667,0.500000,0.458333,75,58,2.055556,1,1,14,0,3
UI-mqiddmf6-HTTMGB,0.260000,0.220000,0.700000,0.050000,0.750000,0.620000,5,5,13,4,4,4,5,3.584963,10,1,3.536232,0.100000,1.922023,0.764706,0.764706,0.764706,34,26,2,1,1,11,0,0
UI-mqidduz9-2DXBRD,0.260000,0.220000,0.700000,0.050000,0.750000,0.620000,5,5,12,4,3,4,5,3.418296,16,1,3.536232,0.100000,1.825011,0.687500,0.687500,0.687500,38,28,2.800000,1,1,12,0,3
UI-mqide4ed-SI4FVA,0.260000,0.220000,0.700000,0.050000,0.750000,0.620000,5,5,7,4,2,3,2,2.584963,14,1,3.536232,0.100000,1.842371,0.363636,0.272727,0.318182,439,287,2.159420,1,1,12,0,2
UI-mqidedze-ARZU24,0.260000,0.220000,0.700000,0.050000,0.750000,0.620000,5,5,13,4,4,4,5,3.584963,11,1,3.536232,0.100000,1.922023,0.882353,0.764706,0.823529,30,24,2,1,1,19,0,3
UI-mqidet06-E8Z6GE,0.260000,0.220000,0.700000,0.050000,0.750000,0.620000,5,5,7,4,0,4,3,2.584963,11,1,3.536232,0.100000,1.556657,0.727273,0.818182,0.772727,227,159,2.172414,1,1,16,0,5
UI-mqidf55i-APL8Z5,0.260000,0.220000,0.700000,0.050000,0.750000,0.620000,5,5,13,4,4,4,5,3.584963,13,1,3.536232,0.100000,1.922023,0.764706,0.882353,0.823529,29,24,2,1,1,11,0,1
UI-mqidfe1f-9L2WW3,0.260000,0.220000,0.700000,0.050000,0.750000,0.620000,5,5,7,4,1,3,3,2.584963,13,1,3.536232,0.100000,1.842371,0.272727,0.454545,0.363636,331,211,2.232323,1,1,10,0,3
UI-mqidfm1d-C6RCTO,0.260000,0.220000,0.700000,0.050000,0.750000,0.620000,5,5,7,4,3,1,3,2.584963,12,1,3.536232,0.100000,1.950212,0.454545,0.545455,0.500000,66,52,2,1,1,9,0,5
UI-mqidftbf-J1OYZU,0.260000,0.220000,0.700000,0.050000,0.750000,0.620000,5,5,7,4,1,4,2,2.584963,12,1,3.536232,0.100000,1.950212,0.545455,0.545455,0.545455,160,99,2.220000,1,1,14,0,4
UI-mqidg452-HNWU8U,0.260000,0.220000,0.700000,0.050000,0.750000,0.620000,5,5,12,4,4,3,5,3.418296,12,1,3.536232,0.100000,1.887919,0.812500,0.687500,0.750000,30,24,2.250000,1,1,13,0,2
UI-mqidgdz4-PFG4DT,0.260000,0.220000,0.700000,0.050000,0.750000,0.620000,5,5,8,4,2,3,3,2.751629,17,1,3.536232,0.100000,1.750000,0.416667,0.500000,0.458333,127,102,2.033333,1,1,20,0,5
UI-mqidgtds-4NANVD,0.260000,0.220000,0.700000,0.050000,0.750000,0.620000,5,5,7,4,3,2,2,2.584963,19,1,3.536232,0.100000,1.842371,0.454545,0.454545,0.454545,248,173,2.159420,1,1,16,0,2
